#separator:tab
#html:true
paita	shirt, blouse	1. Minulla on sininen paita.<br>2. Tämä paita on liian pieni.<br>3. Ostin uuden paidan kaupasta.	1. I have a blue shirt.<br>2. This shirt is too small.<br>3. I bought a new shirt from the store.	topic::clothing_details topic::fabrics topic::sizes topic::styles
materiaali	material	1. Mikä materiaali tämä on?<br>2. Paita on hyvää materiaalia.<br>3. Pidän luonnonmateriaaleista.	1. What material is this?<br>2. The shirt is made of good material.<br>3. I like natural materials.	topic::clothing_details topic::fabrics topic::sizes topic::styles
väri	colour	1. Mikä on suosikkivärisi?<br>2. Tämä väri sopii sinulle hyvin.<br>3. Ostin paidan eri väreissä.	1. What is your favourite colour?<br>2. This colour suits you well.<br>3. I bought the shirt in different colours.	topic::clothing_details topic::fabrics topic::sizes topic::styles
raita	stripe	1. Paidassa on sinisiä raitoja.<br>2. Pidän raitaisista vaatteista.<br>3. Hänellä oli raitainen paita.	1. The shirt has blue stripes.<br>2. I like striped clothes.<br>3. He had a striped shirt.	topic::clothing_details topic::fabrics topic::sizes topic::styles
kuvio	pattern, print	1. Mekossa on kaunis kuvio.<br>2. Pidän kukkakuvioisista vaatteista.<br>3. Mikä kuvio sinulle sopii?	1. The dress has a beautiful pattern.<br>2. I like floral patterned clothes.<br>3. What pattern suits you?	topic::clothing_details topic::fabrics topic::sizes topic::styles
yksivärinen	plain, one-coloured	1. Hän pitää yksivärisiä vaatteista.<br>2. Ostin yksivärisen paidan.<br>3. Yksivärinen mekko on tyylikäs.	1. He likes plain clothes.<br>2. I bought a plain shirt.<br>3. A plain dress is stylish.	topic::clothing_details topic::fabrics topic::sizes topic::styles
neulepusero	sweater, jumper	1. Pukin villaisen neulepuseron.<br>2. Neulepusero on lämmin.<br>3. Hänellä on punainen neulepusero.	1. I put on a woollen sweater.<br>2. The sweater is warm.<br>3. She has a red sweater.	topic::clothing_details topic::fabrics topic::sizes topic::styles
nappi	button	1. Paidasta puuttuu nappi.<br>2. Napit ovat kullanväriset.<br>3. Kiinnitin viimeisen napin.	1. The shirt is missing a button.<br>2. The buttons are gold-coloured.<br>3. I fastened the last button.	topic::clothing_details topic::fabrics topic::sizes topic::styles
vetoketju	zip, zipper	1. Takin vetoketju on rikki.<br>2. Vedä vetoketju kiinni.<br>3. Laukussa on iso vetoketju.	1. The coat's zip is broken.<br>2. Pull the zip closed.<br>3. The bag has a big zip.	topic::clothing_details topic::fabrics topic::sizes topic::styles
kaulus	collar	1. Paidassa on iso kaulus.<br>2. Kaulus on liian kireä.<br>3. Hän nosti takin kauluksen ylös.	1. The shirt has a large collar.<br>2. The collar is too tight.<br>3. He pulled up the coat collar.	topic::clothing_details topic::fabrics topic::sizes topic::styles
hiha	sleeve	1. Tässä paidassa on lyhyet hihat.<br>2. Hiha on liian pitkä.<br>3. Hän käärsi hihat ylös.	1. This shirt has short sleeves.<br>2. The sleeve is too long.<br>3. She rolled up her sleeves.	topic::clothing_details topic::fabrics topic::sizes topic::styles
tasku	pocket	1. Housuissa on neljä taskua.<br>2. Laitoin avaimet taskuun.<br>3. Tässä takissa ei ole taskuja.	1. The trousers have four pockets.<br>2. I put the keys in my pocket.<br>3. This coat has no pockets.	topic::clothing_details topic::fabrics topic::sizes topic::styles
tyyli	style	1. Hänellä on hyvä tyyli.<br>2. Mikä on sinun tyylisi?<br>3. Pidän klassisesta tyylistä.	1. She has good style.<br>2. What is your style?<br>3. I like a classic style.	topic::clothing_details topic::fabrics topic::sizes topic::styles
muodissa	in fashion	1. Nämä housut ovat nyt muodissa.<br>2. Onko tämä väri muodissa?<br>3. Hän pukeutuu aina muodissa.	1. These trousers are in fashion now.<br>2. Is this colour in fashion?<br>3. She always dresses in fashion.	topic::clothing_details topic::fabrics topic::sizes topic::styles
pellava	linen	1. Pellavamekko on kesällä viileä.<br>2. Tämä paita on pellavaa.<br>3. Pellava rypistyy helposti.	1. A linen dress is cool in summer.<br>2. This shirt is linen.<br>3. Linen wrinkles easily.	topic::clothing_details topic::fabrics topic::sizes topic::styles
silkki	silk	1. Silkkihuivi on erittäin pehmeä.<br>2. Tämä mekko on tehty silkistä.<br>3. Silkki on kallis materiaali.	1. A silk scarf is very soft.<br>2. This dress is made of silk.<br>3. Silk is an expensive material.	topic::clothing_details topic::fabrics topic::sizes topic::styles
kirjailtu	embroidered	1. Paidassa on kirjailtu kuvio.<br>2. Ostin kirjaillun laukun.<br>3. Kirjailtu pusero on kaunis.	1. The shirt has an embroidered pattern.<br>2. I bought an embroidered bag.<br>3. The embroidered blouse is beautiful.	topic::clothing_details topic::fabrics topic::sizes topic::styles
