#separator:tab
#html:true
koulu	school	1. Koulu alkaa kello kahdeksan.<br>2. Minun koulu on lähellä kotia.<br>3. Koulu loppuu kesäkuussa.	1. School starts at eight o'clock.<br>2. My school is close to home.<br>3. School ends in June.	topic::education topic::university topic::degrees topic::subjects
aine	subject	1. Mikä on sinun lempiaineesi?<br>2. Valitsin kolme ainetta tänä vuonna.<br>3. Biologia on helppo aine minulle.	1. What is your favourite subject?<br>2. I chose three subjects this year.<br>3. Biology is an easy subject for me.	topic::education topic::university topic::degrees topic::subjects
luento	lecture	1. Luento alkaa kello kymmenen.<br>2. Kävin luennolla tänä aamuna.<br>3. Luento kesti kaksi tuntia.	1. The lecture starts at ten o'clock.<br>2. I attended a lecture this morning.<br>3. The lecture lasted two hours.	topic::education topic::university topic::degrees topic::subjects
harjoitus	exercise, practice	1. Tein harjoitukset kotona.<br>2. Harjoitus auttaa oppimaan.<br>3. Opettaja antoi uuden harjoituksen.	1. I did the exercises at home.<br>2. Practice helps with learning.<br>3. The teacher gave a new exercise.	topic::education topic::university topic::degrees topic::subjects
läksy	homework	1. Teen läksyt iltapäivällä.<br>2. Unohdin läksyt kotiin.<br>3. Läksyt olivat helppoja tänään.	1. I do my homework in the afternoon.<br>2. I forgot my homework at home.<br>3. The homework was easy today.	topic::education topic::university topic::degrees topic::subjects
arvosana	grade, mark	1. Sain hyvän arvosanan tentistä.<br>2. Arvosanat tulevat ensi viikolla.<br>3. Hän oli tyytyväinen arvosanaan.	1. I got a good grade on the exam.<br>2. The grades come next week.<br>3. She was happy with her grade.	topic::education topic::university topic::degrees topic::subjects
lukukausi	semester, term	1. Lukukausi alkaa elokuussa.<br>2. Tänä lukukautena on viisi kurssia.<br>3. Lukukausi loppuu joulukuussa.	1. The semester starts in August.<br>2. There are five courses this semester.<br>3. The semester ends in December.	topic::education topic::university topic::degrees topic::subjects
oppia	to learn	1. Opin uusia sanoja joka päivä.<br>2. Hän oppi nopeasti.<br>3. Haluamme oppia suomea.	1. I learn new words every day.<br>2. She learned quickly.<br>3. We want to learn Finnish.	topic::education topic::university topic::degrees topic::subjects
ymmärtää	to understand	1. En ymmärrä tätä tehtävää.<br>2. Ymmärrätkö suomea?<br>3. Hän ymmärsi tunnilla kaiken.	1. I do not understand this task.<br>2. Do you understand Finnish?<br>3. He understood everything in class.	topic::education topic::university topic::degrees topic::subjects
kysyä	to ask	1. Kysyin opettajalta apua.<br>2. Voit kysyä minulta kysymyksiä.<br>3. Hän kysyi luennolla paljon.	1. I asked the teacher for help.<br>2. You can ask me questions.<br>3. She asked a lot during the lecture.	topic::education topic::university topic::degrees topic::subjects
vastata	to answer	1. Vastasin kaikkiin kysymyksiin.<br>2. Hän ei osannut vastata.<br>3. Opettaja vastasi hitaasti.	1. I answered all the questions.<br>2. He could not answer.<br>3. The teacher answered slowly.	topic::education topic::university topic::degrees topic::subjects
vaikea	difficult, hard	1. Tämä tehtävä on vaikea.<br>2. Tentti oli vaikea minulle.<br>3. Kemia on vaikea aine.	1. This task is difficult.<br>2. The exam was hard for me.<br>3. Chemistry is a difficult subject.	topic::education topic::university topic::degrees topic::subjects
helppo	easy	1. Kurssi oli helppo.<br>2. Tänään läksyt olivat helppoja.<br>3. Ensimmäinen tentti on helppo.	1. The course was easy.<br>2. Today the homework was easy.<br>3. The first exam is easy.	topic::education topic::university topic::degrees topic::subjects
muistiinpano	note	1. Kirjoitin muistiinpanoja luennolla.<br>2. Muistiinpanot auttoivat tentissä.<br>3. Luin muistiinpanoni uudelleen.	1. I wrote notes during the lecture.<br>2. The notes helped in the exam.<br>3. I read my notes again.	topic::education topic::university topic::degrees topic::subjects
valmistua	to graduate	1. Hän valmistuu ensi keväänä.<br>2. Valmistuin yliopistosta viime vuonna.<br>3. Halusin valmistua ajoissa.	1. She graduates next spring.<br>2. I graduated from university last year.<br>3. I wanted to graduate on time.	topic::education topic::university topic::degrees topic::subjects
pääaine	major subject	1. Minun pääaineeni on psykologia.<br>2. Hän valitsi pääaineeksi taloustieteen.<br>3. Mikä sinun pääaineesi on?	1. My major subject is psychology.<br>2. He chose economics as his major.<br>3. What is your major subject?	topic::education topic::university topic::degrees topic::subjects
