#separator:tab
#html:true
musiikki	music	1. Pidän musiikista paljon.<br>2. Musiikki on minun harrastukseni.<br>3. Kuuntelin musiikkia eilen.	1. I like music a lot.<br>2. Music is my hobby.<br>3. I listened to music yesterday.	topic::hobbies_in_depth topic::music topic::art topic::reading
soitin	musical instrument	1. Mikä soitin sinulla on?<br>2. Halusin oppia soittamaan soitinta.<br>3. Kitara on minun suosikki soittimeni.	1. What instrument do you have?<br>2. I wanted to learn to play an instrument.<br>3. Guitar is my favorite instrument.	topic::hobbies_in_depth topic::music topic::art topic::reading
kuva	picture, image	1. Hän piirsi kauniin kuvan.<br>2. Otin kuvan puistossa.<br>3. Kuvat ovat seinällä.	1. She drew a beautiful picture.<br>2. I took a picture in the park.<br>3. The pictures are on the wall.	topic::hobbies_in_depth topic::music topic::art topic::reading
romaani	novel	1. Luen jännittävää romaania.<br>2. Hän kirjoitti pitkän romaanin.<br>3. Ostin uuden romaanin kirjakaupasta.	1. I am reading an exciting novel.<br>2. She wrote a long novel.<br>3. I bought a new novel from the bookstore.	topic::hobbies_in_depth topic::music topic::art topic::reading
kirjasto	library	1. Käyn kirjastossa joka viikko.<br>2. Kirjastossa on paljon kirjoja.<br>3. Lainasin dvd:n kirjastosta.	1. I go to the library every week.<br>2. There are many books in the library.<br>3. I borrowed a DVD from the library.	topic::hobbies_in_depth topic::music topic::art topic::reading
näyttely	exhibition	1. Kävin taidenäyttelyssä eilen.<br>2. Näyttely oli todella mielenkiintoinen.<br>3. Näyttely aukeaa huomenna.	1. I visited an art exhibition yesterday.<br>2. The exhibition was really interesting.<br>3. The exhibition opens tomorrow.	topic::hobbies_in_depth topic::music topic::art topic::reading
kitara	guitar	1. Soitan kitaraa vapaa-ajalla.<br>2. Hän osti uuden kitaran.<br>3. Kitara on minun lempisoittimeni.	1. I play guitar in my free time.<br>2. He bought a new guitar.<br>3. Guitar is my favorite instrument.	topic::hobbies_in_depth topic::music topic::art topic::reading
piano	piano	1. Hän soittaa pianoa hyvin.<br>2. Opettelin pianon soittamista lapsena.<br>3. Piano on iso soitin.	1. She plays piano well.<br>2. I learned to play piano as a child.<br>3. The piano is a big instrument.	topic::hobbies_in_depth topic::music topic::art topic::reading
runo	poem	1. Kirjoitin lyhyen runon.<br>2. Hän luki runon ääneen.<br>3. Pidän runojen lukemisesta.	1. I wrote a short poem.<br>2. She read the poem out loud.<br>3. I like reading poems.	topic::hobbies_in_depth topic::music topic::art topic::reading
väri	color, paint	1. Käytin sinistä väriä maalauksessa.<br>2. Hänellä on paljon värejä.<br>3. Mikä väri on suosikkisi?	1. I used blue color in the painting.<br>2. She has many colors.<br>3. What is your favorite color?	topic::hobbies_in_depth topic::music topic::art topic::reading
valokuvata	to photograph	1. Pidän valokuvaamisesta.<br>2. Hän valokuvasi luontoa metsässä.<br>3. Valokuvasin ystäviäni juhlissa.	1. I like taking photographs.<br>2. She photographed nature in the forest.<br>3. I photographed my friends at the party.	topic::hobbies_in_depth topic::music topic::art topic::reading
tanssia	to dance	1. Tanssimme koko illan.<br>2. Hän tanssi kauniisti lavalla.<br>3. Pidän tanssimisesta musiikin tahdissa.	1. We danced the whole evening.<br>2. She danced beautifully on stage.<br>3. I like dancing to the beat of music.	topic::hobbies_in_depth topic::music topic::art topic::reading
käsityö	handicraft	1. Käsityö on mukava harrastus.<br>2. Tein käsitöitä eilen kotona.<br>3. Opimme käsitöitä koulussa.	1. Handicraft is a nice hobby.<br>2. I did handicrafts at home yesterday.<br>3. We learned handicrafts at school.	topic::hobbies_in_depth topic::music topic::art topic::reading
blogata	to blog	1. Blogaan ruoasta joka viikko.<br>2. Hän blogasi matkastaan.<br>3. Halusin aloittaa bloggaamisen.	1. I blog about food every week.<br>2. She blogged about her trip.<br>3. I wanted to start blogging.	topic::hobbies_in_depth topic::music topic::art topic::reading
luova	creative	1. Hän on hyvin luova taiteilija.<br>2. Taide on luovaa työtä.<br>3. Lapset ovat usein luovia.	1. She is a very creative artist.<br>2. Art is creative work.<br>3. Children are often creative.	topic::hobbies_in_depth topic::music topic::art topic::reading
inspiroiva	inspiring	1. Tämä kirja on hyvin inspiroiva.<br>2. Konsertti oli todella inspiroiva.<br>3. Hän on inspiroiva taiteilija.	1. This book is very inspiring.<br>2. The concert was really inspiring.<br>3. She is an inspiring artist.	topic::hobbies_in_depth topic::music topic::art topic::reading
harjoitella	to practice	1. Harjoittelen kitaraa tunnin päivässä.<br>2. Hän harjoitteli laulua ahkerasti.<br>3. Pitää harjoitella joka päivä.	1. I practice guitar for an hour a day.<br>2. She practiced singing diligently.<br>3. You need to practice every day.	topic::hobbies_in_depth topic::music topic::art topic::reading
taiteilija	artist	1. Hän on lahjakas taiteilija.<br>2. Taiteilija maalasi kauniin kuvan.<br>3. Halusin tulla taiteilijaksi.	1. She is a talented artist.<br>2. The artist painted a beautiful picture.<br>3. I wanted to become an artist.	topic::hobbies_in_depth topic::music topic::art topic::reading
rentoutua	to relax	1. Rentoudun lukemalla kirjaa.<br>2. Musiikki auttaa minua rentoutumaan.<br>3. Hän rentoutui musiikin kuuntelemisella.	1. I relax by reading a book.<br>2. Music helps me relax.<br>3. She relaxed by listening to music.	topic::hobbies_in_depth topic::music topic::art topic::reading
