#separator:tab
#html:true
maa	country, land	1. Suomi on kaunis maa.<br>2. Missä maassa sinä asut?<br>3. Tämä maa on suuri.	1. Finland is a beautiful country.<br>2. In which country do you live?<br>3. This country is large.	topic::geography topic::countries topic::capitals
vierailla	to visit	1. Vierailimme Roomassa kesällä.<br>2. Haluatko vierailla Japanissa?<br>3. He vierailivat monessa kaupungissa.	1. We visited Rome in the summer.<br>2. Do you want to visit Japan?<br>3. They visited many cities.	topic::geography topic::countries topic::capitals
etsiä	to search, to look for	1. Etsin Suomea kartalta.<br>2. Hän etsi pääkaupunkia kartalta.<br>3. Etsimme hotellia kaupungista.	1. I am looking for Finland on the map.<br>2. She looked for the capital on the map.<br>3. We are looking for a hotel in the city.	topic::geography topic::countries topic::capitals
tietää	to know	1. Tiedätkö Norjan pääkaupungin?<br>2. Hän tietää paljon maista.<br>3. En tiedä tätä maata.	1. Do you know the capital of Norway?<br>2. He knows a lot about countries.<br>3. I don't know this country.	topic::geography topic::countries topic::capitals
pohjois	north	1. Suomi on pohjoisessa Euroopassa.<br>2. Pohjoinen on kylmä suunta.<br>3. Lappi on Suomen pohjoisessa osassa.	1. Finland is in northern Europe.<br>2. North is a cold direction.<br>3. Lapland is in the northern part of Finland.	topic::geography topic::countries topic::capitals
etelä	south	1. Espanja on etelässä.<br>2. Etelä-Eurooppa on lämmin.<br>3. Helsinki on Suomen etelässä.	1. Spain is in the south.<br>2. Southern Europe is warm.<br>3. Helsinki is in the south of Finland.	topic::geography topic::countries topic::capitals
itä	east	1. Venäjä on idässä.<br>2. Aasia on idässä.<br>3. Itä-Eurooppa on kiehtova alue.	1. Russia is in the east.<br>2. Asia is in the east.<br>3. Eastern Europe is a fascinating region.	topic::geography topic::countries topic::capitals
länsi	west	1. Ruotsi on Suomen lännessä.<br>2. Länsi-Euroopassa on paljon turisteja.<br>3. Aurinko laskee lännessä.	1. Sweden is to the west of Finland.<br>2. There are many tourists in Western Europe.<br>3. The sun sets in the west.	topic::geography topic::countries topic::capitals
rannikko	coast, coastline	1. Suomella on pitkä rannikko.<br>2. Kaupunki sijaitsee rannikolla.<br>3. Rannikolla on paljon kalastajia.	1. Finland has a long coastline.<br>2. The city is located on the coast.<br>3. There are many fishermen on the coast.	topic::geography topic::countries topic::capitals
vuori	mountain	1. Sveitsissä on korkeita vuoria.<br>2. Kiipesimme vuorelle.<br>3. Vuori on upea näky.	1. Switzerland has high mountains.<br>2. We climbed the mountain.<br>3. The mountain is a magnificent sight.	topic::geography topic::countries topic::capitals
joki	river	1. Tämä joki on pitkä.<br>2. Niilin joki on maailman pisin.<br>3. Kaupunki on joen varrella.	1. This river is long.<br>2. The Nile River is the world's longest.<br>3. The city is on the riverside.	topic::geography topic::countries topic::capitals
järvi	lake	1. Suomessa on paljon järviä.<br>2. Järvi on kaunis kesällä.<br>3. Kävimme uimassa järvessä.	1. There are many lakes in Finland.<br>2. The lake is beautiful in summer.<br>3. We went swimming in the lake.	topic::geography topic::countries topic::capitals
meri	sea, ocean	1. Suomi on Itämeren rannalla.<br>2. Meri on sininen.<br>3. Pidän merestä.	1. Finland is on the shore of the Baltic Sea.<br>2. The sea is blue.<br>3. I like the sea.	topic::geography topic::countries topic::capitals
saari	island	1. Suomessa on tuhansia saaria.<br>2. Kypros on saari.<br>3. Matkustimme saarelle laivalla.	1. There are thousands of islands in Finland.<br>2. Cyprus is an island.<br>3. We traveled to the island by boat.	topic::geography topic::countries topic::capitals
alue	area, region	1. Tämä alue on kuuma.<br>2. He asuvat maaseutualueella.<br>3. Kaupungin alue on laaja.	1. This region is hot.<br>2. They live in a rural area.<br>3. The city area is wide.	topic::geography topic::countries topic::capitals
naapuri	neighbor	1. Ruotsi on Suomen naapuri.<br>2. Naapurimaissa puhutaan eri kieliä.<br>3. Meillä on hyvät naapurit.	1. Sweden is Finland's neighbor.<br>2. Different languages are spoken in neighboring countries.<br>3. We have good neighbors.	topic::geography topic::countries topic::capitals
väli	between, distance	1. Suomen ja Viron välillä on meri.<br>2. Kaupunkien välinen matka on pitkä.<br>3. Maiden välinen raja on rauhallinen.	1. There is a sea between Finland and Estonia.<br>2. The distance between the cities is long.<br>3. The border between the countries is peaceful.	topic::geography topic::countries topic::capitals
ilmasto	climate	1. Suomen ilmasto on kylmä.<br>2. Espanjassa on lämmin ilmasto.<br>3. Ilmasto vaihtelee eri alueilla.	1. Finland's climate is cold.<br>2. Spain has a warm climate.<br>3. The climate varies in different regions.	topic::geography topic::countries topic::capitals
suuri	large, big, great	1. Venäjä on suuri maa.<br>2. Tämä on suuri kaupunki.<br>3. Amerikka on suuri manner.	1. Russia is a large country.<br>2. This is a big city.<br>3. America is a large continent.	topic::geography topic::countries topic::capitals
virallinen	official	1. Suomen viralliset kielet ovat suomi ja ruotsi.<br>2. Mikä on maan virallinen nimi?<br>3. Pääkaupunki on virallinen hallintokeskus.	1. The official languages of Finland are Finnish and Swedish.<br>2. What is the official name of the country?<br>3. The capital is the official administrative center.	topic::geography topic::countries topic::capitals
